date,source,region,province,price_vnd_per_kg,change_vnd_per_kg,source_url,benchmark_price_vnd_per_kg
09/03/2026,nongnghiepmoitruong.vn,Miền Bắc,Lạng Sơn,61000,0.0,https://nongnghiepmoitruong.vn/gia-heo-hoi-hom-nay-9-3-2026-tiep-tuc-da-di-xuong-d799845.html,
09/03/2026,nongnghiepmoitruong.vn,Miền Bắc,Ninh Bình,62000,0.0,https://nongnghiepmoitruong.vn/gia-heo-hoi-hom-nay-9-3-2026-tiep-tuc-da-di-xuong-d799845.html,
09/03/2026,nongnghiepmoitruong.vn,Miền Bắc,Phú Thọ,61000,0.0,https://nongnghiepmoitruong.vn/gia-heo-hoi-hom-nay-9-3-2026-tiep-tuc-da-di-xuong-d799845.html,
09/03/2026,nongnghiepmoitruong.vn,Miền Bắc,Quảng Ninh,61000,-1000.0,https://nongnghiepmoitruong.vn/gia-heo-hoi-hom-nay-9-3-2026-tiep-tuc-da-di-xuong-d799845.html,
09/03/2026,nongnghiepmoitruong.vn,Miền Bắc,Sơn La,62000,-1000.0,https://nongnghiepmoitruong.vn/gia-heo-hoi-hom-nay-9-3-2026-tiep-tuc-da-di-xuong-d799845.html,
09/03/2026,nongnghiepmoitruong.vn,Miền Bắc,Thái Nguyên,61000,-1000.0,https://nongnghiepmoitruong.vn/gia-heo-hoi-hom-nay-9-3-2026-tiep-tuc-da-di-xuong-d799845.html,
09/03/2026,nongnghiepmoitruong.vn,Miền Bắc,Tuyên Quang,62000,0.0,https://nongnghiepmoitruong.vn/gia-heo-hoi-hom-nay-9-3-2026-tiep-tuc-da-di-xuong-d799845.html,
09/03/2026,nongnghiepmoitruong.vn,Miền Bắc,Điện Biên,63000,0.0,https://nongnghiepmoitruong.vn/gia-heo-hoi-hom-nay-9-3-2026-tiep-tuc-da-di-xuong-d799845.html,
09/03/2026,nongnghiepmoitruong.vn,Miền Nam,An Giang,66000,-2000.0,https://nongnghiepmoitruong.vn/gia-heo-hoi-hom-nay-9-3-2026-tiep-tuc-da-di-xuong-d799845.html,
09/03/2026,nongnghiepmoitruong.vn,Miền Nam,Cà Mau,68000,0.0,https://nongnghiepmoitruong.vn/gia-heo-hoi-hom-nay-9-3-2026-tiep-tuc-da-di-xuong-d799845.html,
09/03/2026,nongnghiepmoitruong.vn,Miền Nam,Cần Thơ,67000,0.0,https://nongnghiepmoitruong.vn/gia-heo-hoi-hom-nay-9-3-2026-tiep-tuc-da-di-xuong-d799845.html,
09/03/2026,nongnghiepmoitruong.vn,Miền Nam,TP.HCM,68000,-1000.0,https://nongnghiepmoitruong.vn/gia-heo-hoi-hom-nay-9-3-2026-tiep-tuc-da-di-xuong-d799845.html,
09/03/2026,nongnghiepmoitruong.vn,Miền Nam,Tây Ninh,68000,-1000.0,https://nongnghiepmoitruong.vn/gia-heo-hoi-hom-nay-9-3-2026-tiep-tuc-da-di-xuong-d799845.html,
09/03/2026,nongnghiepmoitruong.vn,Miền Nam,Vĩnh Long,67000,-1000.0,https://nongnghiepmoitruong.vn/gia-heo-hoi-hom-nay-9-3-2026-tiep-tuc-da-di-xuong-d799845.html,
09/03/2026,nongnghiepmoitruong.vn,Miền Nam,Đồng Nai,68000,-1000.0,https://nongnghiepmoitruong.vn/gia-heo-hoi-hom-nay-9-3-2026-tiep-tuc-da-di-xuong-d799845.html,
09/03/2026,nongnghiepmoitruong.vn,Miền Nam,Đồng Tháp,68000,0.0,https://nongnghiepmoitruong.vn/gia-heo-hoi-hom-nay-9-3-2026-tiep-tuc-da-di-xuong-d799845.html,
